اسم منتج المنافس,صورة المنافس,سعر المنافس,مصدر الملف,أقرب منتج لدينا,نسبة التطابق %,الطبقة المستخدمة,الماركة,القرار,وصف المنتج (LLM),وصف الماركة (LLM)
عطر روز بريك من توم فرود اودي بارفيوم30مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/cb3f6129-bcef-475c-9ec0-d6e037cdde62-500x500-1FWiIGBZBrfV0C5Cq3TT8PshNUvRXlYRgK2vkUNO.png",753,متجر ساراء ميكاب.csv,عطر توم فورد روز بريك أو دو بارفيوم 250مل,36.6,GOLDEN-LOW-VERIFIED,توم فورد,new,,
توم فورد وايت سويدي اي دي بيرفيوم للنساء 30 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/0f6d49c9-b581-45b4-aff3-35ed4b530a7f-500x500-HDDUfwWcCRx8sgaYkcV3MNvnl9IIXnUmn6eapgUL.png",362,متجر ساراء ميكاب.csv,عطر توم فورد وايت سوايد أو دو برفيوم 50 مل,37.5,GOLDEN-LOW-VERIFIED,توم فورد,new,,
معطر جسم توم فورد توسكان ليذر 150مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/5a3548e8-6c56-492c-81ba-22362c1377bd-500x500-cfpekdPt9lQgRULzOlnmkfXMmTOhhSuRB9qw78UA.png",347,متجر ساراء ميكاب.csv,معطر للجسم توم فورد بلاك أوركيد 150مل,45.8,GOLDEN-LOW-VERIFIED,توس,new,,
سيفورا ماسكارا سايز اب 14 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/329cc6e7-c2ab-4b76-a25e-d00dc718d76c-500x500-wxRzNTBdfEP0lXg6JU1B4mx3yA2rTVxtTGT9TEvv.png",103,متجر ساراء ميكاب.csv,خافي عيوب توفيسد كونسيلر بورن ذيس واي 13.5 مل,37.7,GOLDEN-LOW-VERIFIED,,new,,
صبغة كولاج ميكس تون لتلوين الشعر من لاكمي فضي 60مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/7762c6c5-18d8-432f-9db9-ca3182cbd2a1-500x500-BnsTW41iKHZmVnzicQVp0JLz8CspA680w1FDMdhi.png",14,متجر ساراء ميكاب.csv,كارسيل للشعر قناع معالج  بالكولاجين للشعر الجاف والتالف - 500 مل,16.0,GOLDEN-LOW-VERIFIED,ميكس,new,,
عطر اكزوما بيور ووتر 50 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/5e690cd8-0aa6-45bc-8261-5502d5bf528d-500x500-buyt6MpGtxjQFtnpywRpjPOkfNFvLczOwJBxKSyq.png",449,متجر ساراء ميكاب.csv,عطر إسكادا بورن ان برادايس أو دو تواليت 50مل,42.8,GOLDEN-LOW-VERIFIED,باكوما,new,,
عطر روس اند روس سونج فور كوين او دو بارفيوم 100مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/e55793bd-5731-44bb-8652-023d278881db-500x500-K8y9iqSiEOfCUfUH48wJYSmiwdnc9qi6pPMNxO8J.png",724,متجر ساراء ميكاب.csv,عطر جورجيو أرماني سترونجر ويذ يو توباكو أو دو برفيوم 100مل,51.4,GOLDEN-LOW-VERIFIED,,new,,
مجموعة هدايا قوتشي قولتي بور اوم,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/12d1a1b5-cbeb-446e-92cd-43bf16bcd050-500x500-c54agtr4hzAZ2CYONHhpatbB5S4jQSoWwppRkXrf.png",493,متجر ساراء ميكاب.csv,عطر أغاثو مجموعة هدايا مجموعة عطور,53.6,GOLDEN-LOW-VERIFIED,قوتشي,new,,
عطر روس روس بالي بلو ايز او دي بارفان 100 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/89303448-f844-43aa-a902-d90ab8a7d69e-500x500-Lelmsy4dbUvl60alPABUQv4HZEHY7M3wazWYaOAi.png",486,متجر ساراء ميكاب.csv,عطر فراجرانس دو بوا كانابيس بلو برفيوم 100مل,45.3,GOLDEN-LOW-VERIFIED,,new,,
عطر روز اند روز بلودي روز 100مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/4a6d6add-464c-42c7-bf3d-5970934c0002-500x500-C2GbuheFAtsf55NLtjnc3gy4hDL546oSq7uazIgN.png",448,متجر ساراء ميكاب.csv,عطر ليكويد اماجينيرز دوم روز 100مل,47.6,GOLDEN-LOW-VERIFIED,,new,,
مجموعة جان بول غوتييه الكسير,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/d8d199cc-42a4-4406-a0d9-39349e027cf7-500x500-EMQJZECLhtGx0i6KrD7IdDi7Y6EKlZsrCPKhcGav.png",494,متجر ساراء ميكاب.csv,مجموعة كيليان باريس جود جيرل جون باد,47.5,GOLDEN-LOW-VERIFIED,جان بول غولتير,new,,
"باد بوي كوبالت إلكتريك"" أو دو بارفان 100 مل، وجل الاستحمام 100 مل، وزجاجة سبراي صغيرة","https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/9154e8e1-4c4e-455c-9594-0550d553e882-500x500-jWb4SwubZZXwavWqSgPJ3h9u1YtwmhL5TSYDPXsF.png",460,متجر ساراء ميكاب.csv,طقم باد بوي أو دو تواليت 100 مل,53.1,GOLDEN-LOW-VERIFIED,,new,,
شامبو بخلاصة حمام الزيت مقوي للشعر بزيوت الخروع واللوز المعالجه من غارنييه الترا دوكس - 600 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/3bd28421-4aac-467c-b608-c2f0b7d5b4f0-500x500-EPBmhS1B6F1e5MjvaIMJEsKv23y2i2BpuErDgi1Z.png",18,متجر ساراء ميكاب.csv,كارسيل للشعر قناع معالج  بالكولاجين للشعر الجاف والتالف - 500 مل,17.9,GOLDEN-LOW-VERIFIED,,new,,
دوسفارم حلوى منعشة مع فيتامين C و D بنكهة النعناع خالية من السكر - 22 جم,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/606d6787-8e72-4f10-bf24-2f45a4c5cdf4-500x500-O52cASDtHlYM8A7WdufFHNnrTRc1UTjMOnssvA35.png",11,متجر ساراء ميكاب.csv,جاد بخور مبسوس الجود 30 جرام,46.8,GOLDEN-LOW-VERIFIED,,new,,
كارتييه مجموعة هدايا عطر ديكلاريشن او دو تواليت,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/0f6b0e05-a9c4-4ac5-a7fb-e1dae2fb8d0f-500x500-FxrZdrZtyTBqEgW6mMQ74CwdTS8PixRiTOgGZm0w.png",396,متجر ساراء ميكاب.csv,عطر أغاثو مجموعة هدايا مجموعة عطور,45.4,GOLDEN-LOW-VERIFIED,كارتييه,new,,
كارا بيوتي اضاءة الجسم ستاربيم - كوزميك شين,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/f470423a-e38f-4b86-ba36-e05a2a8925df-500x489.5-5S9cus5hY0eyMpB4vkboOoCfe2vTeuUZwMAvwotR.png",74,متجر ساراء ميكاب.csv,أوفرا بودرة إضاءة - روديو درايف,43.8,GOLDEN-LOW-VERIFIED,,new,,
اضاءة جسم سائلة Moonbeam - كارا بيوتي 01,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/f876d346-099c-4323-8731-a4cee71d3b01-500x446-tZwIUPlp9ZNMgiD9igPYUJ75nJteR5C7fWb8aLkN.png",74,متجر ساراء ميكاب.csv,أوفرا مجموعة إضاءة - جلو اب,36.6,GOLDEN-LOW-VERIFIED,مايتر بارفومير إيه غونتييه,new,,
فازلين كاكاو شيمر جيلي ستيك بزبدة الكاكاو - 1.4 أونصة,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/6e5240f3-2433-4519-ad29-6b028069fb00-500x500-ck8KizHnPrl69CNBdQWyk3y0BqBeynvJktWL70Vn.png",60,متجر ساراء ميكاب.csv,عطر كيوبيد نمبر 1 أو دو بارفيوم 50 مل للجنسين,38.8,GOLDEN-LOW-VERIFIED,,new,,
دهن يمكث من نمسات نجد NASAMAT NAJD OIL,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/88edab94-de6f-4eb2-a010-d6eab41649fb-500x500-lKHj8bAWtZgML0HgZ3Xy80o0d0rkgiwzOYPnnoeX.jpg",253,متجر ساراء ميكاب.csv,إيف سان لوران ليبر زيت للجسم 150 مل,28.6,GOLDEN-LOW-VERIFIED,مايتر بارفومير إيه غونتييه,new,,
عطر سانتا يولاليا أوبسكورو فورتي 75 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/07efcfc5-e4ce-4aaf-b19c-c87301cfeeaa-500x500-dzLa5eomEkwgoxu6bTrxXThXjzheAhLFbR2n8gMQ.png",736,متجر ساراء ميكاب.csv,عطر روبرتو كافالي باراديسو روزا أو دو برفيوم 75 مل,43.6,GOLDEN-LOW-VERIFIED,كورلوف,new,,
عطر سانتا يولاليا أوبسكورو أو دي بارفان 75 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/03c61c93-83e0-46f8-8140-38c1709f7530-500x500-WPGIRV4349qpvCylGERm4xczvlb8GUvfiq85TV3s.png",690,متجر ساراء ميكاب.csv,عطر روبرتو كافالي باراديسو روزا أو دو برفيوم 75 مل,46.7,GOLDEN-LOW-VERIFIED,,new,,
عطر سانتا أولاليا أوديسيا او دو بارفيوم 75 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/122afefc-7fd3-4545-8f8f-324c728a9d3d-500x500-CoGjGiEENkNDcHmRCPqjSHk2t2EJD1GjRldws96W.png",632,متجر ساراء ميكاب.csv,عطر سيبراني جولد أوسيس أو دو بارفيوم 100 مل,20.4,GOLDEN-LOW-VERIFIED,بوديسيا,new,,
عطر سانتا يولاليا نكتار أو دي بارفان 75 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/af9a6552-be06-4ddf-83a9-9fef617fce64-400x500-5eQdgVWwiKXYeg5Wh7LW8jdFmyByANLfT9busUmV.png",609,متجر ساراء ميكاب.csv,عطر روبرتو كافالي باراديسو روزا أو دو برفيوم 75 مل,46.5,GOLDEN-LOW-VERIFIED,,new,,
عطر سانتا يولاليا 175 أو دي بارفان 75 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/cb266aad-590c-437a-bb49-0d38db335ee0-375.21663778163x500-Vui6sipGk5NT3C6aH8pirh5LaWXhwHLBA9M0aFPx.png",602,متجر ساراء ميكاب.csv,عطر روبرتو كافالي باراديسو روزا أو دو برفيوم 75 مل,39.0,GOLDEN-LOW-VERIFIED,,new,,
عينة عطر سوبليم فانيل من كريد,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/27ffa28e-29ff-43e8-ab0f-bbdc2c6cd5ff-500x500-HbpF7dlpXpoyzxAwwyZ5xjkLHGXdVyrFOMjXjWYG.png",27,متجر ساراء ميكاب.csv,عطر لطافة مجموعة المسك الشرقي,39.4,GOLDEN-LOW-VERIFIED,كريد,new,,
بيبر منتس كرات معطرة للفم بالنعناع البارد - 18 كبسوله,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/4d070d63-a778-40ba-9555-d0c2160d081c-500x500-fZWDIzzZpv2CguXtJ5Eqg4h5FtrNcerIJhwCEPRX.png",11,متجر ساراء ميكاب.csv,عطر كلايف كريستيان ايكونك 20 الرجالي أو دو برفيوم 50 مل,25.9,GOLDEN-LOW-VERIFIED,بيبي,new,,
