بيانات المنتج,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
النوع ,أسم المنتج,تصنيف المنتج,صورة المنتج,وصف صورة المنتج,نوع المنتج,سعر المنتج,الوصف,هل يتطلب شحن؟,رمز المنتج sku,سعر التكلفة,السعر المخفض,تاريخ بداية التخفيض,تاريخ نهاية التخفيض,اقصي كمية لكل عميل,إخفاء خيار تحديد الكمية,اضافة صورة عند الطلب,الوزن,وحدة الوزن,الماركة,العنوان الترويجي,تثبيت المنتج,الباركود,السعرات الحرارية,MPN,GTIN,خاضع للضريبة ؟,سبب عدم الخضوع للضريبة,[1] الاسم,[1] النوع,[1] القيمة,[1] الصورة / اللون,[2] الاسم,[2] النوع,[2] القيمة,[2] الصورة / اللون,[3] الاسم,[3] النوع,[3] القيمة,[3] الصورة / اللون
منتج,عينة عطر جيشا ديفا من دي جابور اكستريت دي بارفيوم,العطور,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/544ae3d7-f9a5-49dc-904a-ac5687a6a25f-500x500-eHaSpRt44q5kLB4lAL5vuqVML7jpESLnxfhmBjwr.png",عينة عطر جيشا ديفا من دي جابور اكستريت دي بارفيوم,منتج جاهز,24,,نعم,,,,,,,,,0.5,kg,دي غابور | De Gabor,عينة عطر جيشا ديفا من دي جابور اكستريت دي بارفيوم | دي غابور | De Gabor - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,عينة عطر كلكوز فلورز لي اروجينال,العطور,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/5c06ef4d-8f47-4858-a815-d57dc18dac6b-500x500-q7QqIyMXdpDcEAKw84qCHTRdcrcCArYjkl2VBBhm.png",عينة عطر كلكوز فلورز لي اروجينال,منتج جاهز,13,,نعم,,,,,,,,,0.5,kg, | ,عينة عطر كلكوز فلورز لي اروجينال |  |  - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,عينة عطر روز دو ديزيرتاو من هوبيجان دو بارفيوم,العطور,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/7ef4738b-16a0-41e2-842d-9509b596a3b7-500x500-gSKnsdQvc17Gf3mFmOuW1LzPgqmfWK5wpnFmGRzF.png",عينة عطر روز دو ديزيرتاو من هوبيجان دو بارفيوم,منتج جاهز,10,,نعم,,,,,,,,,0.5,kg,هوبيجان | Houbigant,عينة عطر روز دو ديزيرتاو من هوبيجان دو بارفيوم | هوبيجان | Houbigant - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,عينة عطر هوبيجانت باريس توباك نوميد,العطور,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/02847231-11cd-4978-8657-8c6122d00ac8-500x500-BgGdA3lUE5HPo8TKZPwimrxdKsnURUo4zRktV5gG.png",عينة عطر هوبيجانت باريس توباك نوميد,منتج جاهز,10,,نعم,,,,,,,,,0.5,kg,هوبيجان | Houbigant,عينة عطر هوبيجانت باريس توباك نوميد | هوبيجان | Houbigant - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,عينة عطر دارلينج من دي غابور بارفيوم,العطور,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/087a5b97-a2a7-46f0-b2d2-685e1236c41e-500x500-3zlEwZVxLa02G1ihTLzT37GxV5vz4O8l1qu4J3e3.png",عينة عطر دارلينج من دي غابور بارفيوم,منتج جاهز,24,,نعم,,,,,,,,,0.5,kg,دي غابور | De Gabor,عينة عطر دارلينج من دي غابور بارفيوم | دي غابور | De Gabor - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,عطر مستخلص عطر العود النبطي50مل,العطور,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/9d9054bf-7322-4e0a-9452-750f0467c506-500x500-RxXEUMotblZkBDGmMYqEBi59Zah6Z9fpwCKwErOS.png",عطر مستخلص عطر العود النبطي50مل,منتج جاهز,862,,نعم,,,,,,,,,0.5,kg, | ,عطر مستخلص عطر العود النبطي50مل |  |  - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,عطر كوكتيل ماراكويا اكستريت دي بارفيوم 50 مل,العطور,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/a97f5f1d-1813-4b3d-88b5-0e6449b3ad9c-500x500-hQk4gBHvKaTkkYSlFbVDma9sqCKWaTtZmpmWnVo0.png",عطر كوكتيل ماراكويا اكستريت دي بارفيوم 50 مل,منتج جاهز,690,,نعم,,,,,,,,,0.5,kg, | ,عطر كوكتيل ماراكويا اكستريت دي بارفيوم 50 مل |  |  - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,هيستوار دي بارفيومز 7753 او دي بارفان 120 مل,العطور,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/bbdf855c-fcdc-4b42-baf8-37a1f0748702-500x500-3bCkhIUtzsYLJ6CYlEYLjAFgsdFSIy4wcGZJcPCd.png",هيستوار دي بارفيومز 7753 او دي بارفان 120 مل,منتج جاهز,667,,نعم,,,,,,,,,0.5,kg,بورديل بارفيوم | Bordel Parfum,هيستوار دي بارفيومز 7753 او دي بارفان 120 مل | بورديل بارفيوم | Bordel Parfum - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,تاريخ العطور 1876- 120مل,العطور,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/2139ac52-965f-44ab-996e-08ee1af76dd1-500x500-aMJtUWPwUuEeca5edfVRAshzB2io9ewCl1AckoLB.png",تاريخ العطور 1876- 120مل,منتج جاهز,655,,نعم,,,,,,,,,0.5,kg,تارت | TARTE,تاريخ العطور 1876- 120مل | تارت | TARTE - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,عطر روز ريغليس افينيسانس 50 مل,العطور,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/e9b403cc-28dc-4a3d-95de-6fc5b3927263-500x500-uJ6B5Dj8n3566UdqrC5xwR9VtDzjhxJOvVinuJ8p.png",عطر روز ريغليس افينيسانس 50 مل,منتج جاهز,573,,نعم,,,,,,,,,0.5,kg,افينيسانس | Avenissance,عطر روز ريغليس افينيسانس 50 مل | افينيسانس | Avenissance - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,عطر هستريوس ذز از نوت بلو بوتل 1/7 60مل,العطور,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/809149d8-7483-4f11-8772-a67a61d0ef25-500x500-pAgGiaY35Vln3Jabz0djQx7vzzuzZgY2qKSxKLYl.png",عطر هستريوس ذز از نوت بلو بوتل 1/7 60مل,منتج جاهز,552,,نعم,,,,,,,,,0.5,kg, | ,عطر هستريوس ذز از نوت بلو بوتل 1/7 60مل |  |  - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,عطر مون سانتال 50ملAstrophil & Stella Mon Santal Extrait de Parfum,العطور,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/2ac87726-e942-415a-8508-ae14c701eea8-500x500-nZg9WH3YiSDK8fkDMifx3Gj5NQ13adqr4PQIBm7m.png",عطر مون سانتال 50ملAstrophil & Stella Mon Santal Extrait de Parfum,منتج جاهز,402,,نعم,,,,,,,,,0.5,kg,ستيلا ماكارتني | Stella,عطر مون سانتال 50ملAstrophil & Stella Mon Santal Extrait de Parfum | ستيلا ماكارتني | Stella - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,عطر بيور فيين 100 مل عطر زهري للجنسين,العطور,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/0995391a-0c77-49fd-ad4d-b8f10ce30f8e-500x500-tMR0hlkQyQkYSqNUS0jumM81PKlSbPodcFsLwEIG.png",عطر بيور فيين 100 مل عطر زهري للجنسين,منتج جاهز,402,,نعم,,,,,,,,,0.5,kg, | ,عطر بيور فيين 100 مل عطر زهري للجنسين |  |  - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,عطر ماجيك من ستيفانو 100مل,العطور,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/a13db61d-e420-4bb8-95f6-fa406d89b7f2-500x500-Ua2bS3M0pCrn04ilzVsip67cltPDsnv4kS83Ties.jpg",عطر ماجيك من ستيفانو 100مل,منتج جاهز,159,,نعم,,,,,,,,,0.5,kg,ستيفانو | Stefano,عطر ماجيك من ستيفانو 100مل | ستيفانو | Stefano - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,جاميز مكمل غذائي لنقص الوزن بنكهة خل التفاح الطبيعي من نيوتري في - 60 قطعة,العطور,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/bb6eefef-4466-4205-b4b4-7bd191827dfb-500x500-k8VKXmw2WrTIvsf6Bs8ChuoA3kHY2utbRIekdxV7.png",جاميز مكمل غذائي لنقص الوزن بنكهة خل التفاح الطبيعي من نيوتري في - 60 قطعة,منتج جاهز,95,,نعم,,,,,,,,,0.5,kg, | ,جاميز مكمل غذائي لنقص الوزن بنكهة خل التفاح الطبيعي من نيوتري في - 60 قطعة |  |  - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,"بيوتين, حلوى جاميز, مكمل غذائي, للشعر والصحة, بنكهة التوت, 60حبة",العطور,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/41b9f3fb-7c65-419f-9adb-8e01f3d6eac4-500x500-JwAMn1snU0HTmMtgBBhSDPhmwoXnNMj04GY1PTgj.png","بيوتين, حلوى جاميز, مكمل غذائي, للشعر والصحة, بنكهة التوت, 60حبة",منتج جاهز,80,,نعم,,,,,,,,,0.5,kg, | ,"بيوتين, حلوى جاميز, مكمل غذائي, للشعر والصحة, بنكهة التوت, 60حبة |  |  - مهووس العطور",,,,,,نعم,,,,,,,,,,,,,
منتج,كريم أساس اير مات من بورجوا - 03 لايت بيج,العطور,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/31461696-43c3-462b-bf2d-58193d955e42-500x500-O4QrWQgHVRnHbWUN6ru7BvORrmMjdvdxlzoQXgVz.png",كريم أساس اير مات من بورجوا - 03 لايت بيج,منتج جاهز,55,,نعم,,,,,,,,,0.5,kg,كريد | Creed,كريم أساس اير مات من بورجوا - 03 لايت بيج | كريد | Creed - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,فرينش افينيو ليكويد برون ليميتد اديشن او دو برفيوم 150مل,العطور,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/cda06362-75c5-492e-b524-bafae90bafc3-500x500-H9MVggTJe6Hs4ph3fpUdvWCMoiK7Qa3YMd3SkAaU.png",فرينش افينيو ليكويد برون ليميتد اديشن او دو برفيوم 150مل,منتج جاهز,164,,نعم,,,,,,,,,0.5,kg,فرنش أفينيو | French Avenue,فرينش افينيو ليكويد برون ليميتد اديشن او دو برفيوم 150مل | فرنش أفينيو | French Avenue - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,توبيريوس نو من توم فورد أو دو برفوم (للجنسين) 30مل,العطور,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/69d1a149-dba8-48dc-8260-2263ae4c134a-500x500-czsEpWoMsNuqvPtzSiYTVkksB7D2FTQyaFA3VVZl.png",توبيريوس نو من توم فورد أو دو برفوم (للجنسين) 30مل,منتج جاهز,362,,نعم,,,,,,,,,0.5,kg,توم فورد | Tom Ford,توبيريوس نو من توم فورد أو دو برفوم (للجنسين) 30مل | توم فورد | Tom Ford - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,عطر روز بريك من توم فرود اودي بارفيوم30مل,العطور,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/cb3f6129-bcef-475c-9ec0-d6e037cdde62-500x500-1FWiIGBZBrfV0C5Cq3TT8PshNUvRXlYRgK2vkUNO.png",عطر روز بريك من توم فرود اودي بارفيوم30مل,منتج جاهز,753,,نعم,,,,,,,,,0.5,kg,توم فورد | Tom Ford,عطر روز بريك من توم فرود اودي بارفيوم30مل | توم فورد | Tom Ford - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,توم فورد وايت سويدي اي دي بيرفيوم للنساء 30 مل,العطور,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/0f6d49c9-b581-45b4-aff3-35ed4b530a7f-500x500-HDDUfwWcCRx8sgaYkcV3MNvnl9IIXnUmn6eapgUL.png",توم فورد وايت سويدي اي دي بيرفيوم للنساء 30 مل,منتج جاهز,362,,نعم,,,,,,,,,0.5,kg,توم فورد | Tom Ford,توم فورد وايت سويدي اي دي بيرفيوم للنساء 30 مل | توم فورد | Tom Ford - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,معطر جسم توم فورد توسكان ليذر 150مل,العطور,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/5a3548e8-6c56-492c-81ba-22362c1377bd-500x500-cfpekdPt9lQgRULzOlnmkfXMmTOhhSuRB9qw78UA.png",معطر جسم توم فورد توسكان ليذر 150مل,منتج جاهز,347,,نعم,,,,,,,,,0.5,kg,توس | Tous,معطر جسم توم فورد توسكان ليذر 150مل | توس | Tous - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,سيفورا ماسكارا سايز اب 14 مل,العطور,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/329cc6e7-c2ab-4b76-a25e-d00dc718d76c-500x500-wxRzNTBdfEP0lXg6JU1B4mx3yA2rTVxtTGT9TEvv.png",سيفورا ماسكارا سايز اب 14 مل,منتج جاهز,103,,نعم,,,,,,,,,0.5,kg, | ,سيفورا ماسكارا سايز اب 14 مل |  |  - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,صبغة كولاج ميكس تون لتلوين الشعر من لاكمي فضي 60مل,العطور,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/7762c6c5-18d8-432f-9db9-ca3182cbd2a1-500x500-BnsTW41iKHZmVnzicQVp0JLz8CspA680w1FDMdhi.png",صبغة كولاج ميكس تون لتلوين الشعر من لاكمي فضي 60مل,منتج جاهز,14,,نعم,,,,,,,,,0.5,kg,ميكس | Mexx,صبغة كولاج ميكس تون لتلوين الشعر من لاكمي فضي 60مل | ميكس | Mexx - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,عطر اكزوما بيور ووتر 50 مل,العطور,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/5e690cd8-0aa6-45bc-8261-5502d5bf528d-500x500-buyt6MpGtxjQFtnpywRpjPOkfNFvLczOwJBxKSyq.png",عطر اكزوما بيور ووتر 50 مل,منتج جاهز,449,,نعم,,,,,,,,,0.5,kg,باكوما | Pacoma,عطر اكزوما بيور ووتر 50 مل | باكوما | Pacoma - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,عطر روس اند روس سونج فور كوين او دو بارفيوم 100مل,العطور,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/e55793bd-5731-44bb-8652-023d278881db-500x500-K8y9iqSiEOfCUfUH48wJYSmiwdnc9qi6pPMNxO8J.png",عطر روس اند روس سونج فور كوين او دو بارفيوم 100مل,منتج جاهز,724,,نعم,,,,,,,,,0.5,kg, | ,عطر روس اند روس سونج فور كوين او دو بارفيوم 100مل |  |  - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,مجموعة هدايا قوتشي قولتي بور اوم,العطور,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/12d1a1b5-cbeb-446e-92cd-43bf16bcd050-500x500-c54agtr4hzAZ2CYONHhpatbB5S4jQSoWwppRkXrf.png",مجموعة هدايا قوتشي قولتي بور اوم,منتج جاهز,493,,نعم,,,,,,,,,0.5,kg,قوتشي | Gucci,مجموعة هدايا قوتشي قولتي بور اوم | قوتشي | Gucci - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,عطر روس روس بالي بلو ايز او دي بارفان 100 مل,العطور,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/89303448-f844-43aa-a902-d90ab8a7d69e-500x500-Lelmsy4dbUvl60alPABUQv4HZEHY7M3wazWYaOAi.png",عطر روس روس بالي بلو ايز او دي بارفان 100 مل,منتج جاهز,486,,نعم,,,,,,,,,0.5,kg, | ,عطر روس روس بالي بلو ايز او دي بارفان 100 مل |  |  - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,عطر روز اند روز بلودي روز 100مل,العطور,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/4a6d6add-464c-42c7-bf3d-5970934c0002-500x500-C2GbuheFAtsf55NLtjnc3gy4hDL546oSq7uazIgN.png",عطر روز اند روز بلودي روز 100مل,منتج جاهز,448,,نعم,,,,,,,,,0.5,kg, | ,عطر روز اند روز بلودي روز 100مل |  |  - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,مجموعة جان بول غوتييه الكسير,العطور,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/d8d199cc-42a4-4406-a0d9-39349e027cf7-500x500-EMQJZECLhtGx0i6KrD7IdDi7Y6EKlZsrCPKhcGav.png",مجموعة جان بول غوتييه الكسير,منتج جاهز,494,,نعم,,,,,,,,,0.5,kg,جان بول غولتير | Jean P G,مجموعة جان بول غوتييه الكسير | جان بول غولتير | Jean P G - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
